XLF,XLF,2.06%,BLK,
XLF,XLF,2.05%,SPGI,
XLF,XLF,1.84%,COF,
XLF,XLF,1.68%,PGR,
XLF,XLF,1.42%,BX,
XLF,XLF,1.41%,CB,
XLF,XLF,1.33%,HOOD,
XLF,XLF,1.32%,CME,
XLF,XLF,1.17%,MMC,
XLF,,,,
XLI,XLI,6.93%,GE,
XLI,XLI,5.72%,CAT,
XLI,XLI,5.02%,RTX,
XLI,XLI,4.11%,UBER,
XLI,XLI,3.21%,GEV,
XLI,XLI,3.18%,BA,
XLI,XLI,3.15%,ETN,
XLI,XLI,2.77%,UNP,
XLI,XLI,2.66%,HON,
XLI,XLI,2.56%,DE,
XLI,XLI,2.28%,PH,
XLI,XLI,2.19%,ADP,
XLI,XLI,2.08%,TT,
XLI,XLI,2.06%,LMT,
XLI,XLI,1.87%,MMM,
XLI,XLI,1.84%,GD,
XLI,XLI,1.78%,HWM,
XLI,XLI,1.71%,JCI,
XLI,XLI,1.65%,NOC,
XLI,XLI,1.58%,WM,
XLK,XLK,14.84%,NVDA,
XLK,XLK,12.49%,AAPL,
XLK,XLK,11.74%,MSFT,
XLK,XLK,5.26%,AVGO,
XLK,XLK,3.72%,PLTR,
XLK,XLK,3.62%,AMD,
XLK,XLK,3.12%,ORCL,
XLK,XLK,2.48%,CSCO,
XLK,XLK,2.48%,IBM,
XLK,XLK,2.31%,MU,
XLK,XLK,2.10%,CRM,
XLK,XLK,1.82%,LRCX,
XLK,XLK,1.69%,QCOM,
XLK,XLK,1.68%,AMAT,
XLK,XLK,1.59%,INTU,
XLK,XLK,1.59%,NOW,
XLK,XLK. APH,,1.47%,
XLK,XLK,1.46%,INTC,
XLK,XLK,1.45%,APP,
XLK,XLK,1.41%,KLAC,
XLK,,,,
XLK,,,,
XLK,,,,
XLK,,,,
XLP,XLP,10.74%,WMT,
XLP,XLP,10%,COST,
XLP,XLP,8.23%,PG,
XLP,XLP,6.40%,KO,
XLP,XLP,5.57%,PM,
XLP,XLP,4.72%,PEP,
XLP,XLP,4.28%,CL,
XLP,XLP,4.23%,MDLZ,
XLP,XLP,4.05%,MO,
XLP,XLP,3.33%,MNST,
XLP,XLP,2.88%,TGT,
XLP,XLP,2.65%,KR,
XLP,XLP,2.50%,KDP,
XLP,XLP,2.41%,SYY,
XLP,XLP,2.29%,KMB,
XLP,XLP,2.15%,KVUE,
XLP,XLP,1.86%,ADM,
XLP,XLP,1.73%,HSY,
XLP,XLP,1.71%,GIS,
XLP,XLP,1.54%,K,
XLP,,,,
XLP,,,,
XLP,,,,
XLP,,,,
XLRE,XLRE,10.47%,WELL,
XLRE,XLRE,9.63%,PLD,
XLRE,XLRE,6.88%,AMT,
XLRE,XLRE,6.67%,EQIX,
XLRE,XLRE,4.95%,SPG,
XLRE,XLRE,4.5%,DLR,
XLRE,XLRE,4.39%,PSA,
XLRE,XLRE,4.36%,O,
XLRE,XLRE,4.27%,CBRE,
XLRE,XLRE,4.04%,CCI,
XLRE,XLRE,3.58%,VTR,
XLRE,XLRE,3.35%,VICI,
XLRE,XLRE,3.18%,IRM,
XLRE,XLRE,2.96%,CSGP,
XLRE,XLRE,2.93%,EXR,
XLRE,XLRE,2.61%,AVB,
XLRE,XLRE,2.19%,SBAC,
XLRE,XLRE,2.15%,EQR,
XLRE,XLRE,1.74%,ESS,
XLRE,XLRE,1.72%,WY,
XLRE,,,,
XLU,XLU,12.54%,NEE,
XLU,XLU,8.12%,CEG,
XLU,XLU,7.30%,SO,
XLU,XLU,6.97%,DUK,
XLU,XLU,4.67%,AEP,
XLU,XLU,4.44%,SRE,
XLU,XLU,4.41%,VST,
XLU,XLU,3.81%,D,
XLU,XLU,3.47%,XEL,
XLU,XLU,3.36%,EXC,
XLU,XLU,3.15%,ETR,
XLU,XLU,3.02%,PEG,
XLU,XLU,2.63%,WEC,
XLU,XLU,2.63%,PCG,
XLU,XLU,2.58%,ED,
XLU,XLU,2.42%,NRG,
XLU,XLU,2.06%,ATO,
XLU,XLU,2.05%,DTE,
XLU,XLU,2.05%,AEE,
XLU,XLU,1.97%,ES,
XLV,XLV,13.84%,LLY,
XLV,XLV,8.46%,JNJ,
XLV,XLV,7.29%,ABBV,
XLV,XLV,5.53%,UNH,
XLV,XLV,4.14%,ABT,
XLV,XLV,4.07%,TMO,
XLV,XLV,4.06%,MRK,
XLV,XLV,3.78%,ISRG,
XLV,XLV,3.25%,AMGN,
XLV,XLV,2.79%,BSX,
XLV,XLV,2.78%,GILD,
XLV,XLV,2.62%,PFE,
